name,candidate_list,party_suggesting,party_member
Petr Dodal,TOP 09,TOP 09,TOP 09
Jiří Dienstbier,Česká str.sociálně demokrat.,ČSSD,ČSSD
Ivan Vinš,Občanská demokratická strana,ODS,ODS
Bohumil Zoufalík,Občanská demokratická strana,ODS,ODS
Milan Richter,Občanská demokratická strana,ODS,ODS
Boris Šťastný,Občanská demokratická strana,ODS,ODS
Lucie Válová,Česká str.sociálně demokrat.,ČSSD,ČSSD
Roman Vaculka,TOP 09,TOP 09,TOP 09
František Adámek,Česká str.sociálně demokrat.,ČSSD,ČSSD
Rudolf Blažek,Občanská demokratická strana,ODS,ODS
Zuzana Bonhomme Hankeová,TOP 09,TOP 09,TOP 09
Iveta Borská,TOP 09,TOP 09,TOP 09
Karel Březina,Česká str.sociálně demokrat.,ČSSD,ČSSD
Petr Bříza,Občanská demokratická strana,ODS,BEZPP
Helena Chudomelová,TOP 09,TOP 09,TOP 09
Martin Dlouhý,TOP 09,TOP 09,TOP 09
Petr Dolínek,Česká str.sociálně demokrat.,ČSSD,ČSSD
Petr Hána,Občanská demokratická strana,ODS,ODS
Daniel Hodek,Česká str.sociálně demokrat.,ČSSD,ČSSD
Tomáš Hudeček,TOP 09,TOP 09,TOP 09
Petr Hulinský,Česká str.sociálně demokrat.,ČSSD,ČSSD
Pavel Hurda,Občanská demokratická strana,ODS,ODS
Ivan Kabický,Občanská demokratická strana,ODS,ODS
Jan Kalousek,Občanská demokratická strana,ODS,BEZPP
Lukáš Kaucký,Česká str.sociálně demokrat.,ČSSD,ČSSD
Pavel Klega,Občanská demokratická strana,ODS,ODS
Gabriela Kloudová,Občanská demokratická strana,ODS,ODS
Marie Kousalíková,Občanská demokratická strana,ODS,ODS
Monika Krobová Hášová,TOP 09,TOP 09,TOP 09
Albert Kubišta,TOP 09,TOP 09,TOP 09
Lubomír Ledl,Komunistická str.Čech a Moravy,KSČM,SDS
Jiří Liška,TOP 09,TOP 09,TOP 09
Radek Lohynský,Občanská demokratická strana,ODS,ODS
Miloslav Ludvík,Česká str.sociálně demokrat.,ČSSD,ČSSD
Lukáš Manhart,TOP 09,TOP 09,TOP 09
Dalibor Mlejnský,Občanská demokratická strana,ODS,ODS
Josef Nosek,Občanská demokratická strana,ODS,ODS
Jiří Nouza,TOP 09,TOP 09,TOP 09
Václav Novotný,TOP 09,TOP 09,TOP 09
Jiří Pařízek,TOP 09,TOP 09,TOP 09
Ondřej Pecha,Občanská demokratická strana,ODS,ODS
Roman Petrus,Česká str.sociálně demokrat.,ČSSD,ČSSD
Lukáš Plachý,Česká str.sociálně demokrat.,ČSSD,ČSSD
Ondřej Počarovský,TOP 09,TOP 09,TOP 09
Miroslav Poche,Česká str.sociálně demokrat.,ČSSD,ČSSD
Pavel Richter,TOP 09,TOP 09,TOP 09
Milan Růžička,Komunistická str.Čech a Moravy,KSČM,KSČM
Vladimír Schmalz,Občanská demokratická strana,ODS,ODS
Marta Semelová,Česká str.sociálně demokrat.,ČSSD,ČSSD
Petr Šimůnek,Občanská demokratická strana,ODS,BEZPP
Jan Slezák,Komunistická str.Čech a Moravy,KSČM,KSČM
Michal Štěpán,Občanská demokratická strana,ODS,ODS
Věra Šturmová,TOP 09,TOP 09,TOP 09
Nataša Šturmová,TOP 09,TOP 09,TOP 09
Ludmila Štvánová,TOP 09,TOP 09,TOP 09
Bohuslav Svoboda,TOP 09,TOP 09,TOP 09
Lenka Teska Arnoštová,Česká str.sociálně demokrat.,ČSSD,ČSSD
Petr Trombik,TOP 09,TOP 09,TOP 09
Zdeněk Tůma,TOP 09,TOP 09,TOP 09
Alexandra Udženija,Občanská demokratická strana,ODS,ODS
Milan Urban,TOP 09,TOP 09,TOP 09
Jan Vašíček,TOP 09,TOP 09,TOP 09
Jiří Vávra,TOP 09,TOP 09,TOP 09
Andrea Vlásenková,Občanská demokratická strana,ODS,ODS
Eva Vorlíčková,TOP 09,TOP 09,TOP 09
Antonín Weinert,Česká str.sociálně demokrat.,ČSSD,ČSSD
David Zelený,Občanská demokratická strana,ODS,ODS
