name,candidate_list,party_suggesting,party_member
Hana Žižková,Občanská demokratická strana,ODS,ODS
Dagmar Gušlbauerová,Komunistická str.Čech a Moravy,KSČM,KSČM
Karel Hagel,Občanská demokratická strana,ODS,ODS
Petr Zajíček,Komunistická str.Čech a Moravy,KSČM,KSČM
Štěpán Šlosár,Občanská demokratická strana,ODS,ODS
Lenka Alinčová,Občanská demokratická strana,ODS,ODS
Pavel Ambrož,Komunistická str.Čech a Moravy,KSČM,KSČM
Michaela Bartáková,Občanská demokratická strana,ODS,ODS
Ivan Bednář,Občanská demokratická strana,ODS,ODS
Pavel Bém,Občanská demokratická strana,ODS,ODS
Rudolf Blažek,Občanská demokratická strana,ODS,ODS
Karel Březina,Česká str.sociálně demokrat.,ČSSD,ČSSD
Zuzana Drhová,Strana zelených,SZ,SZ
Filip Dvořák,Občanská demokratická strana,ODS,ODS
Miroslav Froněk,Občanská demokratická strana,ODS,ODS
Miloš Gregar,Občanská demokratická strana,ODS,ODS
Lubomít Habrnal,Česká str.sociálně demokrat.,ČSSD,ČSSD
Hana Halová,Česká str.sociálně demokrat.,ČSSD,ČSSD
František Hoffman,Komunistická str.Čech a Moravy,KSČM,KSČM
Tomáš Homola,SNK Evropští demokraté,SNK ED,SNK ED
Petr Hulinský,Česká str.sociálně demokrat.,ČSSD,ČSSD
Pavel Hurda,Občanská demokratická strana,ODS,ODS
Tomáš Chalupa,Občanská demokratická strana,ODS,ODS
Jan Choděra,Česká str.sociálně demokrat.,ČSSD,ČSSD
Tomáš Chvála,Občanská demokratická strana,ODS,ODS
Milan Jančík,Občanská demokratická strana,ODS,ODS
Jiří Janeček,Občanská demokratická strana,ODS,ODS
Karel Jech,Strana zelených,SZ,SZ
Tomáš Kaštovský,Občanská demokratická strana,ODS,ODS
Pavel Klega,Občanská demokratická strana,ODS,ODS
Karel Klíma,Česká str.sociálně demokrat.,ČSSD,ČSSD
Petra Kolínská,Strana zelených,SZ,SZ
Iva Kotvová,Strana zelených,SZ,SZ
Ladislav Kouba,Občanská demokratická strana,ODS,ODS
Marie Kousalíková,Občanská demokratická strana,ODS,ODS
Petr Kužel,Občanská demokratická strana,ODS,ODS
Martin Langmajer,Občanská demokratická strana,ODS,ODS
Radek Lohynský,Občanská demokratická strana,ODS,ODS
Miloslav Ludvík,Česká str.sociálně demokrat.,ČSSD,ČSSD
Milan Macek,Komunistická str.Čech a Moravy,KSČM,KSČM
Vladislav Mareček,Občanská demokratická strana,ODS,ODS
Miloslav Mihálik,Občanská demokratická strana,ODS,ODS
Dalibor Mlejnský,Občanská demokratická strana,ODS,ODS
Viktor Pázler,Komunistická str.Čech a Moravy,KSČM,KSČM
Ondřej Pecha,Občanská demokratická strana,ODS,ODS
Milan Pešák,Občanská demokratická strana,ODS,ODS
Miroslav Poche,Česká str.sociálně demokrat.,ČSSD,ČSSD
Antonín Ptáček,Občanská demokratická strana,ODS,ODS
Markéta Reedová,SNK Evropští demokraté,SNK ED,SNK ED
Milan Richter,Občanská demokratická strana,ODS,ODS
Zbyněk Richter,Občanská demokratická strana,ODS,ODS
Marcel Rückl,Občanská demokratická strana,ODS,ODS
Jana Ryšlinková,SNK Evropští demokraté,SNK ED,BEZPP
Alena Samková,Občanská demokratická strana,ODS,ODS
Martina Šandová,Občanská demokratická strana,ODS,ODS
Marta Semelová,Komunistická str.Čech a Moravy,KSČM,KSČM
Ladislav Šilha,Občanská demokratická strana,ODS,ODS
Jan Slezák,Česká str.sociálně demokrat.,ČSSD,ČSSD
František Stádník,Občanská demokratická strana,ODS,ODS
Radovan Šteiner,Občanská demokratická strana,ODS,ODS
Petr Štěpánek,Strana zelených,SZ,SZ
Jan Svátek,Občanská demokratická strana,ODS,ODS
Eva Tylová,Strana zelených,SZ,SZ
Petr Valenta,Občanská demokratická strana,ODS,ODS
Tomáš Vavřinec,Občanská demokratická strana,ODS,ODS
David Vodrážka,Občanská demokratická strana,ODS,ODS
Antonín Weinert,Česká str.sociálně demokrat.,ČSSD,ČSSD
Jiří Witzany,SNK Evropští demokraté,SNK ED,SNK ED
Pavel Žďárský,Občanská demokratická strana,ODS,ODS
Bohumil Zoufalík,Občanská demokratická strana,ODS,ODS
