name,candidate_list,party:suggesting,party:member
Branko Doleček,Čtyřkoalice,US-DEU,US-DEU
"Doc.Ing. Zdeněk Trojan, CSc",Česká str.sociálně demokrat.,ČSSD,ČSSD
Hana Žižková,Občanská demokratická strana,ODS,ODS
Ing. Filip Dvořák,Občanská demokratická strana,ODS,ODS
Ing. František Laudát,Občanská demokratická strana,ODS,ODS
Ing. František Stádník,Občanská demokratická strana,ODS,ODS
Ing. Jan Tomčík,Česká str.sociálně demokrat.,ČSSD,ČSSD
Ing. Jiří Dolejš,Komunistická str.Čech a Moravy,KSČM,KSČM
Ing. Jiří Kaňák,Občanská demokratická strana,ODS,ODS
Ing. Jiří Kraft,Česká str.sociálně demokrat.,ČSSD,ČSSD
Ing. Jiří Paroubek,Česká str.sociálně demokrat.,ČSSD,ČSSD
Ing. Josef Dobrý,Česká str.sociálně demokrat.,ČSSD,ČSSD
Ing. Květoslava Kořínková,Česká str.sociálně demokrat.,ČSSD,ČSSD
Ing. Libor Klug,Občanská demokratická strana,ODS,ODS
Ing. Martin Hejl,Občanská demokratická strana,ODS,ODS
Ing. Miloš Máša,Česká str.sociálně demokrat.,ČSSD,ČSSD
Ing. Petr Bratský,Občanská demokratická strana,ODS,ODS
Ing. Petr Krejčí,Občanská demokratická strana,ODS,ODS
Ing. Petr Šafránek,Čtyřkoalice,DEU,DEU
Ing. Petr Švec,Občanská demokratická strana,ODS,ODS
Ing. Tomáš Kubík,Čtyřkoalice,US-DEU,US-DEU
Ing. Tomáš Mikeska,Občanská demokratická strana,ODS,ODS
Ing. Viktor Pázler,Komunistická str.Čech a Moravy,KSČM,KSČM
Ing. Vladimír Göringer,Čtyřkoalice,US-DEU,US-DEU
Ing. Zdeněk Kovářík,Občanská demokratická strana,ODS,ODS
Ing.arch. Jan Kasl,Občanská demokratická strana,ODS,ODS
Jiří Hladík,Občanská demokratická strana,ODS,ODS
Josef Pavlata,Občanská demokratická strana,ODS,ODS
JUDr. František Hoffman,Komunistická str.Čech a Moravy,KSČM,KSČM
"JUDr. Petr Hulinský, Ph.D.",Česká str.sociálně demokrat.,ČSSD,ČSSD
JUDr. Petr Pokorný,Česká str.sociálně demokrat.,ČSSD,ČSSD
JUDr. Rudolf Blažek,Občanská demokratická strana,ODS,ODS
Martin Stránský,Čtyřkoalice,US-DEU,US-DEU
Milan Dratnal,Čtyřkoalice,US-DEU,US-DEU
MUDr. David Karásek,Čtyřkoalice,US-DEU,US-DEU
MUDr. Luděk Fiala,Občanská demokratická strana,ODS,ODS
MUDr. Marián Hošek,Čtyřkoalice,KDU-ČSL,KDU-ČSL
MUDr. Michael Hvížďala,Čtyřkoalice,US-DEU,BEZPP
MUDr. Petr Hanuš,Občanská demokratická strana,ODS,ODS
MUDr. Vladimír Říha,Čtyřkoalice,KDU-ČSL,KDU-ČSL
Otto Kechner,Česká str.sociálně demokrat.,ČSSD,ČSSD
Pavel Žďárský,Občanská demokratická strana,ODS,ODS
Petr Šimůnek,Komunistická str.Čech a Moravy,KSČM,KSČM
Petr Zajíček,Komunistická str.Čech a Moravy,KSČM,KSČM
PhDr. Karel Šplíchal,Česká str.sociálně demokrat.,ČSSD,ČSSD
"PhDr. Miloslav Ransdorf, CSc",Komunistická str.Čech a Moravy,KSČM,KSČM
Radovan Šteiner,Občanská demokratická strana,ODS,ODS
RNDr. Igor Němec,Občanská demokratická strana,ODS,ODS
RNDr. Ivana Bursíková,Čtyřkoalice,US-DEU,US-DEU
RNDr. Jan Koukal,Občanská demokratická strana,ODS,ODS
"RNDr. Jiří Witzany, Ph.D.",Čtyřkoalice,US-DEU,US-DEU
RNDr. Martin Bursík,Čtyřkoalice,KDU-ČSL,BEZPP
RNDr. Milan Press,Čtyřkoalice,US-DEU,US-DEU
RNDr. Miroslav Prokeš,Komunistická str.Čech a Moravy,KSČM,KSČM
RSDr. Libuše Eliášová,Komunistická str.Čech a Moravy,KSČM,KSČM
RSDr. Zdeněk Pernes,Komunistická str.Čech a Moravy,KSČM,BEZPP
Rudolf Školník,Občanská demokratická strana,ODS,ODS
Tomáš Szennai,Čtyřkoalice,ODA,ODA
Tomáš Vrbík,Čtyřkoalice,US-DEU,US-DEU
